Dia,Poluentes,Indice,,,,,,,,,
11-10-17,Ozonio,Particulas Inalaveis,Ozonio,34,58,59,,,,,
12-10-17,,,,,,,,,,,
13-10-17,,,,,,,,,,,
14-10-17,,,,,,,,,,,
15-10-17,,,,,,,,,,,
16-10-17,Ozonio,Particulas Inalaveis,Ozonio,39,62,68,,,,,
17-10-17,Ozonio,Particulas Inalaveis,Ozonio,30,53,52,,,,,
18-10-17,Ozonio,Ozonio,25,44,,,,,,,
19-10-17,Ozonio,Ozonio,33,44,,,,,,,
20-10-17,Ozonio,Particulas Inalaveis,43,71,,,,,,,
21-10-17,Ozonio,43,,,,,,,,,
22-10-17,,,,,,,,,,,
23-10-17,,,,,,,,,,,
24-10-17,Ozonio,39,,,,,,,,,
25-10-17,Ozonio, Particulas Inalaveis,27,67,,,,,,,
26-10-17,Ozonio,33,,,,,,,,,
27-10-17,Ozonio, Particulas Inalaveis,34,74,,,,,,,
28-10-17,,,,,,,,,,,
29-10-17,,,,,,,,,,,
30-10-17,Ozonio,37,,,,,,,,,
31-10-17,Ozonio,27,,,,,,,,,
01-11-17,,,,,,,,,,,
02-11-17,,,,,,,,,,,
03-11-17,,,,,,,,,,,
04-11-17,,,,,,,,,,,
05-11-17,,,,,,,,,,,
06-11-17,Ozonio,28,,,,,,,,,
07-11-17,Ozonio,18,,,,,,,,,
08-11-17,Ozonio,13,,,,,,,,,
09-11-17,Ozonio,18,,,,,,,,,
10-11-17,Ozonio,13,,,,,,,,,
11-11-17,,,,,,,,,,,
12-11-17,,,,,,,,,,,
13-11-17,,,,,,,,,,,
14-11-17,,,,,,,,,,,
15-11-17,,,,,,,,,,,
16-11-17,,,,,,,,,,,
17-11-17,,,,,,,,,,,
18-11-17,,,,,,,,,,,
19-11-17,,,,,,,,,,,
20-11-17,,,,,,,,,,,
21-11-17,,,,,,,,,,,
22-11-17,Ozonio,27,,,,,,,,,
23-11-17,Ozonio,22,,,,,,,,,
24-11-17,,,,,,,,,,,
25-11-17,,,,,,,,,,,
26-11-17,,,,,,,,,,,
27-11-17,Ozonio,33,,,,,,,,,
28-11-17,Ozonio,36,,,,,,,,,
29-11-17,Ozonio,51,,,,,,,,,
30-11-17,Ozonio,35,,,,,,,,,
01-12-17,Ozonio,20,,,,,,,,,
02-12-17,,,,,,,,,,,
03-12-17,,,,,,,,,,,
04-12-17,Ozonio,22,,,,,,,,,
05-12-17,,,,,,,,,,,
06-12-17,,,,,,,,,,,
07-12-17,,,,,,,,,,,
08-12-17,,,,,,,,,,,
09-12-17,,,,,,,,,,,
10-12-17,,,,,,,,,,,
11-12-17,,,,,,,,,,,
12-12-17,,,,,,,,,,,
13-12-17,,,,,,,,,,,
14-12-17,,,,,,,,,,,
15-12-17,,,,,,,,,,,
16-12-17,,,,,,,,,,,
17-12-17,,,,,,,,,,,
18-12-17,,,,,,,,,,,
19-12-17,,,,,,,,,,,
20-12-17,,,,,,,,,,,
21-12-17,,,,,,,,,,,
22-12-17,,,,,,,,,,,
23-12-17,,,,,,,,,,,
24-12-17,,,,,,,,,,,
25-12-17,,,,,,,,,,,
26-12-17,,,,,,,,,,,
27-12-17,,,,,,,,,,,
28-12-17,,,,,,,,,,,
29-12-17,,,,,,,,,,,
30-12-17,,,,,,,,,,,
31-12-17,,,,,,,,,,,
01-01-18,,,,,,,,,,,
02-01-18,,,,,,,,,,,
03-01-18,,,,,,,,,,,
04-01-18,,,,,,,,,,,
05-01-18,,,,,,,,,,,
06-01-18,,,,,,,,,,,
07-01-18,,,,,,,,,,,
08-01-18,,,,,,,,,,,
09-01-18,,,,,,,,,,,
10-01-18,,,,,,,,,,,
11-01-18,,,,,,,,,,,
12-01-18,,,,,,,,,,,
13-01-18,,,,,,,,,,,
14-01-18,,,,,,,,,,,
15-01-18,,,,,,,,,,,
16-01-18,,,,,,,,,,,
17-01-18,,,,,,,,,,,
18-01-18,Ozonio,28,,,,,,,,,
19-01-18,Particulas Inalaveis,34,,,,,,,,,
20-01-18,,,,,,,,,,,
21-01-18,,,,,,,,,,,
22-01-18,Ozonio,38,,,,,,,,,
23-01-18,Ozonio,35,,,,,,,,,
24-01-18,Ozonio,23,,,,,,,,,
25-01-18,,,,,,,,,,,
26-01-18,,,,,,,,,,,
27-01-18,,,,,,,,,,,
28-01-18,,,,,,,,,,,
29-01-18,,,,,,,,,,,
30-01-18,,,,,,,,,,,
31-01-18,,,,,,,,,,,
01-02-18,,,,,,,,,,,
02-02-18,,,,,,,,,,,
03-02-18,,,,,,,,,,,
04-02-18,,,,,,,,,,,
05-02-18,,,,,,,,,,,
06-02-18,,,,,,,,,,,
07-02-18,,,,,,,,,,,
08-02-18,,,,,,,,,,,
09-02-18,,,,,,,,,,,
10-02-18,,,,,,,,,,,
11-02-18,,,,,,,,,,,
12-02-18,,,,,,,,,,,
13-02-18,,,,,,,,,,,
14-02-18,,,,,,,,,,,
15-02-18,,,,,,,,,,,
16-02-18,,,,,,,,,,,
17-02-18,,,,,,,,,,,
18-02-18,,,,,,,,,,,
19-02-18,,,,,,,,,,,
20-02-18,Ozonio,Particulas Inalaveis,Ozonio,Ozonio,72,28,21,21,,,
21-02-18,Ozonio,Particulas Inalaveis,Ozonio,Ozonio,68,21,20,21,,,
22-02-18,Ozonio,Particulas Inalaveis,Ozonio,Ozonio,68,18,18,20,,,
23-02-18,Ozonio,Particulas Inalaveis,Ozonio,Ozonio,68,21,20,21,,,
24-02-18,,,,,,,,,,,
25-02-18,,,,,,,,,,,
26-02-18,Ozonio,Particulas Inalaveis,Ozonio,Particulas Inalaveis,47,19,39,22,,,
27-02-18,Ozonio,Particulas Inalaveis,Ozonio,Particulas Inalaveis,46,22,35,30,,,
28-02-18,Ozonio,Particulas Inalaveis,Ozonio,Particulas Inalaveis,68,25,43,34,,,
01-03-18,Ozonio,Ozonio,Ozonio,Particulas Inalaveis,57,37,65,36,,,
02-03-18,Ozonio,Ozonio,Particulas Inalaveis,38,71,49,,,,,
03-03-18,,,,,,,,,,,
04-03-18,,,,,,,,,,,
05-03-18,Ozonio,Ozonio,Ozonio,Particulas Inalaveis,79,29,51,26,,,
06-03-18,Ozonio,Particulas Inalaveis,Particulas Inalaveis,Ozonio,71,48,69,47,,,
07-03-18,Ozonio,Particulas Inalaveis,Particulas Inalaveis,Ozonio,77,32,24,39,,,
08-03-18,Ozonio,Particulas Inalaveis,Particulas Inalaveis,Ozonio,57,33,29,41,,,
09-03-18,Particulas Inalaveis,Particulas Inalaveis,Ozonio,34,16,33,,,,,
10-03-18,,,,,,,,,,,
11-03-18,,,,,,,,,,,
